lat,lng,alt
42.5325001532, -83.1201736889, 196.984877754
42.5324356432, -83.1201559602, 196.978587271
42.5323920345, -83.120121556, 196.85508648
42.5323669049, -83.1200664082, 196.888853417
42.5323576091, -83.1199974169, 196.907198097
42.5323683154, -83.1199287805, 197.03978355
42.5323970945, -83.1198708886, 197.009303373
42.5324402842, -83.1198305423, 196.88338745
42.5324941387, -83.1198040437, 197.037575663
42.532557194, -83.1197973792, 197.01850427
42.5326271018, -83.1197988665, 197.010366761
42.5327018314, -83.119804251, 197.005093654
42.5327825002, -83.119810803, 197.002293721
42.5328678668, -83.1198167826, 196.998413653
42.532959638, -83.1198186242, 196.993524603
42.5330592499, -83.11981828, 196.984590222
42.5331664245, -83.1198197472, 196.859543136
42.5332741239, -83.1198235366, 196.88639359
42.5333755261, -83.119826316, 196.881275307
42.5334662307, -83.119830257, 196.739590266
42.5335407472, -83.1198332888, 196.622354657
42.5335976467, -83.1198351419, 196.517592424
42.5336390844, -83.1198353512, 196.42900143
42.5336661681, -83.1198343499, 196.472014334
42.5336791479, -83.1198328955, 196.486478944
42.5336806605, -83.1198322591, 196.492335959
42.5336777868, -83.1198335085, 196.50472574
42.5336748414, -83.119834451, 196.63685884
42.5336733434, -83.1198351766, 196.611628216
42.5336733613, -83.1198355051, 196.603876001
42.5336736268, -83.1198356585, 196.601102157
42.5336763524, -83.1198353258, 196.602771347
42.5336757113, -83.1198350134, 196.600310769
42.5336747576, -83.1198345176, 196.599392625
42.5336743336, -83.1198345099, 196.599771222
42.5336736901, -83.1198346703, 196.599737761
42.5336731719, -83.1198349804, 196.599864477
42.5336726746, -83.1198351696, 196.599886858
42.5336722048, -83.1198353513, 196.599884406
42.5336722786, -83.1198358182, 196.600541346
42.5336718817, -83.1198361614, 196.600647526
42.5336721118, -83.1198364879, 196.602467319
42.5336718907, -83.1198361889, 196.605822234
42.5336729035, -83.119835841, 196.617308633
42.5336739736, -83.1198353207, 196.74660743
42.5336741065, -83.119835342, 196.717149844
42.5336740011, -83.119835507, 196.706084006
42.5336741624, -83.1198358408, 196.70231725
