nice_timestamp	timestamp	lat	lon	speed(m/s)	angle	alt
1	82619	42.3316975	-83.0418178333	0.081282152	None	209.2
1	82620	42.331697	-83.0418228333	0.064819944	None	209.2
1	82621	42.3316968333	-83.0418266667	0.06944994	None	209.3
1	82622	42.3316966667	-83.0418318333	0.075623268	None	209.2
1	82623	42.3316961667	-83.0418391667	0.08231104	None	209.1
1	82624	42.3316953333	-83.0418416667	0.01800554	None	209.1
1	82625	42.3316948333	-83.0418416667	0.03601108	None	209.3
1	82626	42.3316941667	-83.0418428333	0.016976652	None	209.6
1	82627	42.3316935	-83.0418451667	0.100831024	None	209.8
1	82628	42.3316928333	-83.0418471667	0.08231104	None	209.9
1	82629	42.3316923333	-83.0418486667	0.024693312	None	210.0
1	82630	42.3316918333	-83.0418485	0.013889988	None	210.1
1	82631	42.3316916667	-83.041848	0.057103284	None	210.3
1	82632	42.3316911667	-83.0418476667	0.076137712	None	210.4
1	82633	42.331691	-83.0418441667	0.012346656	None	210.6
1	82634	42.3316908333	-83.0418401667	0.03601108	None	210.8
1	82635	42.3316906667	-83.0418353333	0.065848832	None	211.1
1	82636	42.3316911667	-83.0418315	0.057103284	None	211.4
1	82637	42.3316915	-83.0418285	0.05916106	None	211.7
1	82638	42.3316918333	-83.0418271667	0.009259992	None	211.9
1	82639	42.3316918333	-83.0418256667	0.078195488	None	212.0
1	82640	42.331692	-83.0418265	0.042698852	None	212.1
1	82641	42.3316921667	-83.0418283333	0.070993272	None	212.1
1	82642	42.3316973333	-83.0418285	0.82053818	324.36	212.2
1	82643	42.331709	-83.0418418333	1.868975052	323.18	212.5
1	82644	42.3317265	-83.0418595	2.5979422	318.96	212.4
1	82645	42.3317391667	-83.0418955	3.504906972	292.02	212.3
1	82646	42.3317366667	-83.04195	4.400039532	262.59	212.2
1	82647	42.3317213333	-83.0420253333	5.991729268	254.34	212.4
1	82648	42.3316918333	-83.0420983333	6.954253992	243.53	212.2
1	82649	42.3316563333	-83.0421756667	7.737752204	238.36	212.2
1	82650	42.3316196667	-83.042262	8.420419392	239.71	212.0
1	82651	42.331581	-83.0423515	8.609734784	239.22	212.1
1	82652	42.3315421667	-83.0424398333	8.475979344	239.03	212.0
1	82653	42.3315055	-83.0425201667	7.658527828	239.23	211.9
1	82654	42.3314736667	-83.0425913333	6.595686524	239.28	212.0
1	82655	42.3314466667	-83.0426463333	5.1573011	238.66	212.0
1	82656	42.3314263333	-83.0426818333	3.427225928	238.40	212.2
1	82657	42.3314168333	-83.042702	1.501147592	238.23	212.6
1	82658	42.3314143333	-83.0427096667	0.437791844	None	212.6
1	82659	42.3314141667	-83.042712	0.147130984	None	212.6
1	82660	42.3314131667	-83.0427125	0.242817568	None	212.5
1	82661	42.3314125	-83.0427151667	0.16976652	None	212.6
1	82662	42.331413	-83.0427178333	0.031381084	None	212.4
1	82663	42.3314146667	-83.04272	0.004115552	None	212.2
1	82664	42.3314153333	-83.0427218333	0.011317768	None	212.0
1	82665	42.3314163333	-83.0427233333	0.037554412	None	211.8
1	82666	42.3314171667	-83.042726	0.042698852	None	211.6
1	82667	42.3314175	-83.0427283333	0.021606648	None	211.3
1	82668	42.3314185	-83.0427295	0.0257222	None	211.1
1	82669	42.3314196667	-83.0427306667	0.050929956	None	210.9
1	82670	42.3314201667	-83.0427318333	0.088484368	None	210.8
1	82671	42.3314211667	-83.0427316667	0.109062128	None	210.6
1	82672	42.3314226667	-83.0427326667	0.03343886	None	210.6
1	82673	42.3314238333	-83.0427338333	0.047843292	None	210.3
1	82674	42.3314246667	-83.0427345	0.02314998	None	210.0
1	82675	42.3314246667	-83.0427356667	0.112148792	None	209.8
1	82676	42.3314231667	-83.042741	0.561258404	238.86	209.7
1	82677	42.3314166667	-83.042754	1.52789868	235.51	209.6
1	82678	42.331403	-83.0427801667	3.007439624	236.03	209.6
1	82679	42.3313778333	-83.0428165	4.332647368	235.44	209.6
1	82680	42.3313511667	-83.0428698333	5.453620844	238.16	209.7
1	82681	42.3313223333	-83.0429301667	5.92125044	238.78	209.5
1	82682	42.3312943333	-83.0429955	6.213969076	238.51	209.3
1	82683	42.331264	-83.0430601667	6.439809992	239.68	209.1
1	82684	42.3312363333	-83.0431353333	6.905896256	240.08	209.4
1	82685	42.3312133333	-83.0432293333	7.37198252	240.28	209.1
1	82686	42.3311883333	-83.0433273333	7.7681044	240.25	207.5
1	82687	42.3311545	-83.0434111667	7.944044248	240.75	205.9
1	82688	42.3311206667	-83.0434986667	8.27483174	241.43	205.8
1	82689	42.3310863333	-83.043589	8.538227068	241.95	205.8
1	82690	42.3310475	-83.0436738333	8.335021688	239.52	205.7
1	82691	42.3310125	-83.0437621667	8.19509292	240.66	205.9
1	82692	42.3309783333	-83.0438491667	7.96359312	239.75	205.8
1	82693	42.3309523333	-83.04395	8.07934302	241.11	205.3
1	82694	42.3309166667	-83.0440368333	8.29283728	240.39	203.9
1	82695	42.330875	-83.0441211667	8.446141592	236.48	203.9
1	82696	42.33083	-83.0442056667	8.732172456	234.98	203.8
1	82697	42.3307855	-83.0442953333	8.992995564	235.74	203.8
1	82698	42.330742	-83.0443895	9.206489824	237.57	203.8
1	82699	42.3307016667	-83.0444861667	9.086624372	239.71	203.7
1	82700	42.3306543333	-83.0445695	8.711080252	236.64	203.6
1	82701	42.330606	-83.044646	8.633399208	236.61	204.0
1	82702	42.3305718333	-83.0447348333	8.139532968	239.29	205.0
1	82703	42.3305353333	-83.044817	7.820063244	239.30	205.1
1	82704	42.3304936667	-83.044887	7.725919992	240.43	205.1
1	82705	42.3304488333	-83.0449616667	8.001147532	235.36	206.2
1	82706	42.3304221667	-83.0450586667	8.538227068	244.41	206.6
1	82707	42.33041	-83.0451735	9.377799676	256.52	206.9
1	82708	42.3303861667	-83.0452826667	9.804788196	257.18	208.0
1	82709	42.330341	-83.0453758333	9.274396432	247.71	209.0
1	82710	42.3302711667	-83.04545	9.432845184	233.23	208.9
1	82711	42.3302101667	-83.0455305	9.657142768	232.10	209.4
1	82712	42.330176	-83.0456376667	9.681321636	240.95	211.0
1	82713	42.3301315	-83.0457548333	10.534784232	241.01	211.5
1	82714	42.330081	-83.0458715	10.895409476	239.97	210.9
1	82715	42.3300331667	-83.045991	11.237000292	240.56	210.6
1	82716	42.3299725	-83.0461146667	11.772022052	235.73	210.8
1	82717	42.3299265	-83.0462456667	11.471072312	236.93	210.8
1	82718	42.3298836667	-83.0463795	11.364582404	239.71	209.8
1	82719	42.329837	-83.0465048333	11.104788184	240.80	208.5
1	82720	42.329786	-83.0466256667	11.108903736	238.95	207.8
1	82721	42.32974	-83.0467466667	11.214364756	240.74	207.0
1	82722	42.3296816667	-83.0468668333	11.68816768	238.60	206.9
1	82723	42.329625	-83.0469918333	11.941274128	237.73	206.7
1	82724	42.3295618333	-83.047114	12.168658376	237.00	206.4
1	82725	42.3295156667	-83.0472503333	11.93252858	239.62	206.3
1	82726	42.3294603333	-83.0473716667	11.566244452	238.55	205.9
1	82727	42.3294123333	-83.0474961667	11.20459032	239.75	205.7
1	82728	42.3293788333	-83.0476303333	11.010130488	243.96	205.2
1	82729	42.3293566667	-83.0477695	10.882033932	249.55	204.4
1	82730	42.3293141667	-83.0478828333	10.62841304	247.75	203.6
1	82731	42.3292548333	-83.0479785	10.22714672	240.94	204.0
1	82732	42.3292098333	-83.0480835	9.88504146	240.08	204.2
1	82733	42.3291743333	-83.048195	9.74614158	240.32	204.1
1	82734	42.3291283333	-83.048292	9.37059746	239.32	203.8
1	82735	42.3290813333	-83.0483861667	9.103601024	239.63	203.7
1	82736	42.3290361667	-83.0484751667	8.743490224	239.11	203.3
1	82737	42.3289996667	-83.0485646667	8.028927508	239.58	203.5
1	82738	42.3289701667	-83.0486471667	7.083379436	238.25	203.1
1	82739	42.3289413333	-83.0487191667	6.284447904	237.94	202.4
1	82740	42.3289183333	-83.0487825	5.441274188	237.23	202.0
1	82741	42.328896	-83.0488335	4.467431696	236.28	201.6
1	82742	42.3288831667	-83.0488828333	3.86090222	239.26	201.1
1	82743	42.3288686667	-83.0489101667	2.324257992	238.85	200.7
1	82744	42.328869	-83.0489298333	1.065413524	242.41	200.4
1	82745	42.328871	-83.0489403333	0.448080724	None	200.0
1	82746	42.328874	-83.0489456667	0.083339928	None	199.7
1	82747	42.3288741667	-83.0489481667	0.161535416	None	199.4
1	82748	42.3288745	-83.0489503333	0.050415512	None	199.2
1	82749	42.3288758333	-83.0489526667	0.051958844	None	199.2
1	82750	42.328878	-83.0489555	0.044242184	None	199.2
1	82751	42.3288771667	-83.0489551667	0.065334388	None	199.2
1	82752	42.3288771667	-83.0489561667	0.0514444	None	199.2
1	82753	42.3288775	-83.0489571667	0.01028888	None	199.1
1	82754	42.3288816667	-83.0489621667	0.029837752	None	199.0
1	82755	42.3288873333	-83.0489688333	0.032409972	None	198.8
1	82756	42.3288866667	-83.048969	0.095686584	None	198.6
1	82757	42.3288865	-83.0489693333	0.098258804	None	198.5
1	82758	42.3288863333	-83.0489703333	0.111119904	None	198.4
1	82759	42.3288866667	-83.0489713333	0.021606648	None	198.3
1	82760	42.3288876667	-83.0489726667	0.06173328	None	198.3
1	82761	42.3288896667	-83.0489751667	0.056074396	None	198.2
1	82762	42.3288931667	-83.0489791667	0.081282152	None	198.2
1	82763	42.3288983333	-83.048985	0.083339928	None	198.1
1	82764	42.3289063333	-83.0489941667	0.06687772	None	197.9
1	82765	42.3289085	-83.0489963333	0.012346656	None	197.8
1	82766	42.3289068333	-83.0489948333	0.104432132	None	197.7
1	82767	42.328906	-83.0489943333	0.079224376	None	197.5
1	82768	42.3289075	-83.048996	0.032409972	None	197.5
1	82769	42.3289095	-83.0489983333	0.067392164	None	197.4
1	82770	42.3289128333	-83.049002	0.31895528	303.58	197.3
1	82771	42.328916	-83.0490053333	0.059675504	None	197.1
1	82772	42.3289176667	-83.0490091667	0.148674316	None	197.0
1	82773	42.3289181667	-83.0490183333	0.703244948	289.30	196.8
1	82774	42.328909	-83.049035	2.059833776	239.74	196.6
1	82775	42.3288973333	-83.0490675	3.188523912	238.09	196.6
1	82776	42.328874	-83.049102	4.0383854	237.60	196.4
1	82777	42.3288448333	-83.0491428333	4.870755792	234.17	196.6
1	82778	42.3288013333	-83.0491731667	5.263791008	220.57	196.5
1	82779	42.3287458333	-83.049187	5.739137264	198.45	196.3
1	82780	42.3286771667	-83.0491663333	6.757736384	169.57	196.2
1	82781	42.3286116667	-83.0491303333	7.460981332	157.80	196.4
1	82782	42.3285451667	-83.0490806667	7.815947692	152.16	196.3
1	82783	42.3284796667	-83.0490278333	7.882310968	150.17	196.1
1	82784	42.3284206667	-83.0489806667	7.167748252	150.29	195.9
1	82785	42.3283623333	-83.0489343333	6.980490636	149.58	195.6
1	82786	42.3283043333	-83.0488903333	6.817926332	150.56	195.4
1	82787	42.3282513333	-83.0488488333	5.999445928	150.31	195.4
1	82788	42.3282081667	-83.0488158333	4.793589192	150.05	195.4
1	82789	42.328181	-83.0488011667	2.46161454	155.22	195.5
1	82790	42.3281621667	-83.0487958333	1.481084276	160.15	195.9
1	82791	42.3281451667	-83.0487931667	1.585001964	167.83	196.3
1	82792	42.3281278333	-83.0487916667	1.621013044	171.63	196.4
1	82793	42.3281096667	-83.0487855	1.79283734	170.00	196.6
1	82794	42.3280918333	-83.0487758333	1.752710708	162.69	196.7
1	82795	42.3280783333	-83.0487651667	1.191966748	157.82	196.9
1	82796	42.328073	-83.0487605	0.396636324	156.64	197.3
1	82797	42.3280708333	-83.0487588333	0.12346656	None	197.3
1	82798	42.3280693333	-83.0487571667	0.013375544	None	197.5
1	82799	42.328069	-83.0487565	0.0128611	None	197.5
1	82800	42.3280675	-83.0487543333	0.012346656	None	197.7
1	82801	42.328066	-83.0487525	0.042184408	None	197.9
1	82802	42.3280643333	-83.0487515	0.064819944	None	198.1
1	82803	42.3280621667	-83.0487498333	0.167708744	152.88	198.3
1	82804	42.3280521667	-83.0487426667	1.328808852	143.79	198.4
1	82805	42.3280328333	-83.0487241667	2.883973064	143.17	198.8
1	82806	42.3280031667	-83.0486933333	4.343450692	142.50	199.1
1	82807	42.3279645	-83.0486525	5.656826224	142.70	199.3
1	82808	42.3279173333	-83.0486046667	6.460902196	143.69	199.3
1	82809	42.3278643333	-83.048554	7.196557116	144.94	199.5
1	82810	42.327807	-83.048501	7.769133288	145.52	199.5
1	82811	42.3277456667	-83.0484426667	8.3339928	144.55	199.6
1	82812	42.3276796667	-83.0483821667	8.830945704	146.11	199.8
1	82813	42.3276163333	-83.0483248333	8.2954095	146.01	200.2
1	82814	42.3275618333	-83.0482756667	6.943965112	145.99	200.3
1	82815	42.3275166667	-83.048234	5.647566232	144.75	200.3
1	82816	42.3274853333	-83.0482065	3.574356912	144.74	200.6
1	82817	42.3274713333	-83.0481951667	1.271705568	144.95	201.0
1	82818	42.327469	-83.0481928333	0.134269884	None	201.2
1	82819	42.3274701667	-83.0481926667	0.02314998	None	200.9
1	82820	42.3274706667	-83.048192	0.034982192	None	200.5
1	82821	42.3274715	-83.0481921667	0.019548872	None	200.3
1	82822	42.3274721667	-83.0481926667	0.017491096	None	200.1
1	82823	42.3274726667	-83.0481926667	0.009774436	None	199.8
1	82824	42.327473	-83.0481923333	0.010803324	None	199.6
1	82825	42.3274733333	-83.0481921667	0.013889988	None	199.4
1	82826	42.3274735	-83.048192	0.018519984	None	199.2
1	82827	42.3274735	-83.0481915	0.024693312	None	198.9
1	82828	42.3274733333	-83.0481911667	0.005658884	None	198.7
1	82829	42.3274733333	-83.0481908333	0.015947764	None	198.6
1	82830	42.3274736667	-83.0481906667	0.013375544	None	198.4
1	82831	42.327474	-83.0481903333	0.005658884	None	198.2
1	82832	42.3274746667	-83.0481901667	0.01028888	None	198.1
1	82833	42.3274755	-83.0481903333	0.008231104	None	197.9
1	82834	42.3274766667	-83.0481911667	0.014918876	None	197.7
1	82835	42.3274776667	-83.0481911667	0.004115552	None	197.4
1	82836	42.3274788333	-83.0481915	0.006173328	None	197.3
1	82837	42.3274801667	-83.0481918333	0.01800554	None	197.2
1	82838	42.327481	-83.0481923333	0.006687772	None	197.2
1	82839	42.3274818333	-83.0481925	0.00771666	None	196.9
1	82840	42.3274825	-83.0481925	0.008231104	None	196.8
1	82841	42.3274826667	-83.0481918333	0.004115552	None	196.8
1	82842	42.3274816667	-83.0481903333	0.0128611	None	196.9
1	82843	42.327481	-83.0481893333	0.011317768	None	197.1
1	82844	42.3274805	-83.0481881667	0.009774436	None	197.1
1	82845	42.3274798333	-83.0481871667	0.009259992	None	197.2
1	82846	42.3274791667	-83.0481861667	0.001543332	None	197.3
1	82847	42.3274786667	-83.0481851667	0.006687772	None	197.4
1	82848	42.3274781667	-83.0481843333	0.00771666	None	197.5
1	82849	42.3274776667	-83.0481838333	0.008745548	None	197.6
1	82850	42.3274775	-83.0481835	0.011832212	None	197.6
1	82851	42.3274756667	-83.048182	0.282429756	145.06	197.6
1	82852	42.3274695	-83.0481771667	1.002651356	148.58	197.7
1	82853	42.3274523333	-83.0481626667	2.64424216	147.44	197.5
1	82854	42.3274216667	-83.0481373333	4.435536168	148.47	197.5
1	82855	42.3273785	-83.0481016667	6.015908136	148.49	197.5
1	82856	42.3273268333	-83.0480593333	6.974831752	149.12	197.5
